"Microsoft Visual C++ 8"	57722	9253	7055	2128	35.29	4.55	11.87	23.12
"VC8 -> Microsoft Corporation"	28828	16843	0	1064	17.62	8.28	0.00	11.56
"UPX -> www.upx.sourceforge.net"	19425	43781	5896	0	11.88	21.52	9.92	0.00
"UPX v3.0 (EXE_LZMA) -> Markus Oberhumer & Laszlo Molnar & John Reiser"	12069	35900	5315	0	7.38	17.65	8.95	0.00
"UPX 2.93 (LZMA)"	12065	35902	5305	0	7.38	17.65	8.93	0.00
"Borland Delphi 3.0"	15852	14051	12318	1435	9.69	6.91	20.73	15.59
"Microsoft Visual C++ 7.0"	0	30652	17731	3473	0.00	15.07	29.84	37.73
"Borland Delphi 4.0"	6840	0	5797	675	4.18	0.00	9.76	7.33
"Dev-C++ 4.9.9.2 -> Bloodshed Software"	5616	17065	0	0	3.43	8.39	0.00	0.00
"Borland Delphi v6.0 - v7.0"	5153	0	0	431	3.15	0.00	0.00	4.68
